Rank,Name,Price,1h %,24h %,7d %,Market Cap,Volume,Circulating Supply
,CoinMarketCap 20 Index DTF,$160.28,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
1,Bitcoin,"$78,126.09",0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
2,Ethereum,"$2,277.74",0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
3,Tether,$0.9989,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
4,BNB,$768.94,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
5,XRP,$1.60,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
6,USDC,$0.9996,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
7,Solana,$103.10,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
8,TRON,$0.2829,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
9,Dogecoin,$0.1067,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
10,Hyperliquid,$36.30,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
11,Cardano,$0.2971,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
12,Bitcoin Cash,$526.92,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
13,UNUS SED LEO,$8.64,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
14,Canton,$0.1921,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
15,Monero,$383.89,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
16,Chainlink,$9.58,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
17,Ethena USDe,$0.9984,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
18,Stellar,$0.1759,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
19,Dai,$0.9995,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
20,World Liberty Financial USD,$1.00,0.10%,4.74%,25.56%,"$4,669,362,229","$363,822,510",1.28M
